,ideology,state,name,party,twitter_handler
2,0.05810776859081656,AZ,Raúl Grijalva,D,
3,0.1035740013346976,IL,Jan Schakowsky,D,@janschakowsky
4,0.10956787563512138,WA,Pramila Jayapal,D,@RepJayapal
5,0.11233725148151896,WI,Gwen Moore,D,@RepGwenMoore
6,0.11914332219262395,NY,Yvette Clarke,D,@RepYvetteClarke
7,0.12421328093617555,NJ,Bonnie Watson Coleman,D,@RepBonnie
8,0.12670862169661146,MD,Jamie Raskin,D,@RepRaskin
9,0.13643475970984376,MA,Jim Mc Govern,D,
10,0.14917132007108555,NY,Jerrold Nadler,D,
11,0.15054006130954503,TX,Sheila Jackson Lee,D,@JacksonLeeTX18
12,0.15075508735971313,NY,José Serrano,D,@RepJoseSerrano
13,0.15173915354062814,MN,Keith Ellison,D,
14,0.15186236645269807,IL,Luis Gutiérrez,D,
15,0.15951019206005046,CA,Nanette Barragán,D,@RepBarragan
16,0.16449954366995242,CA,Mark DeSaulnier,D,@RepDeSaulnier
17,0.16918514140795174,FL,Alcee Hastings,D,@RepHastingsFL
18,0.17346178482698776,PA,Dwight Evans,D,@RepDwightEvans
19,0.17633143241577295,CA,Mark Takano,D,@RepMarkTakano
20,0.17988462213251746,NY,Nydia Velázquez,D,
21,0.18034585201504005,CA,Jared Huffman,D,@JaredHuffman
22,0.1807300115487044,NY,Adriano Espaillat,D,@RepEspaillat
23,0.1824779859199576,MN,Betty McCollum,D,@BettyMcCollum04
24,0.18575412534233532,CA,Ro Khanna,D,@RoKhanna
25,0.1859815732462897,WI,Mark Pocan,D,@repmarkpocan
26,0.1862916842272531,FL,Frederica Wilson,D,@RepWilson
27,0.19265082938889647,IN,André Carson,D,@RepAndreCarson
28,0.19358614901693708,WA,Adam Smith,D,@RepAdamSmith
29,0.195941650388095,FL,Darren Soto,D,
30,0.19816350452534334,TN,Steve Cohen,D,@RepCohen
31,0.2022630763203037,VA,Bobby Scott,D,@BobbyScott
32,0.2030897378375424,CA,Judy Chu,D,@RepJudyChu
33,0.20330548208553145,MD,Elijah Cummings,D,@RepCummings
34,0.20380140297328966,GA,John Lewis,D,@repjohnlewis
35,0.2072360562329104,MA,Katherine Clark,D,@RepKClark
36,0.2104823603186956,NJ,Donald Payne,D,
37,0.21183698323624187,CT,Rosa DeLauro,D,@rosadelauro
38,0.2140549327121419,CA,Alan Lowenthal,D,@RepLowenthal
39,0.21539549379922368,CA,Maxine Waters,D,@RepMaxineWaters
40,0.21606239178113615,CA,Jerry McNerney,D,@RepMcNerney
41,0.2162711229570521,NY,Hakeem Jeffries,D,@RepJeffries
42,0.21901063294840828,NJ,Frank Pallone,D,@FrankPallone
43,0.2197691390536541,CA,Karen Bass,D,
44,0.22055356677571966,NY,Carolyn Maloney,D,@RepMaloney
45,0.2219209978256711,CA,Grace Napolitano,D,
46,0.22313038937287208,CA,Lucille Roybal-Allard,D,@RepRoybalAllard
47,0.22475229432655372,RI,David Cicilline,D,@davidcicilline
48,0.2249394671207375,OR,Earl Blumenauer,D,@repblumenauer
49,0.2267076019109092,FL,Debbie Wasserman Schultz,D,@DWStweets
50,0.23786704708026266,MI,Brenda Lawrence,D,@RepLawrence
51,0.2395416848243043,OR,Suzanne Bonamici,D,@RepBonamici
52,0.2411022946235921,CA,Jackie Speier,D,@RepSpeier
53,0.2425681289761417,VA,Donald Beyer,D,
54,0.2427997745496457,CA,Zoe Lofgren,D,@RepZoeLofgren
55,0.24430936933532524,MA,Michael Capuano,D,
56,0.2457194576121555,CA,Ted Lieu,D,@RepTedLieu
57,0.24574683125484856,TX,Al Green,D,@RepAlGreen
58,0.2465918921658699,NY,Gregory Meeks,D,@RepGregoryMeeks
59,0.2528853891200173,NH,Carol Shea-Porter,D,
60,0.25396228612676564,NY,Paul Tonko,D,@RepPaulTonko
61,0.25821535181695643,IL,Mike Quigley,D,@RepMikeQuigley
62,0.2590318822790589,GA,Hank Johnson,D,@RepHankJohnson
63,0.2613206622165658,IL,Danny Davis,D,@RepDannyDavis
64,0.2642941029780461,AZ,Ruben Gallego,D,@RepRubenGallego
65,0.26571639578244777,MI,Debbie Dingell,D,@RepDebDingell
66,0.2733760711302413,MD,Anthony Brown,D,
67,0.2742924934174378,VA,Donald McEachin,D,@RepMcEachin
68,0.2742944532968714,MA,Niki Tsongas,D,
69,0.27443663701690924,OH,Marcy Kaptur,D,@RepMarcyKaptur
70,0.2746009518675943,NC,Alma Adams,D,@RepAdams
71,0.27660391751065616,FL,Kathy Castor,D,
72,0.276983355314815,RI,Jim Langevin,D,@JimLangevin
73,0.2770819730045363,ME,Chellie Pingree,D,@chelliepingree
74,0.27708648179727785,MA,Stephen Lynch,D,@RepStephenLynch
75,0.2791713035043429,CA,Juan Vargas,D,@RepJuanVargas
76,0.279513057439388,HI,Colleen Hanabusa,D,
77,0.2803477780848422,IL,Robin Kelly,D,@RobinLynneKelly
78,0.2822561756625715,CA,Jimmy Gomez,D,@RepJimmyGomez
79,0.2841833580169205,OH,Marcia Fudge,D,@RepMarciaFudge
80,0.28478418446791953,CA,Salud Carbajal,D,@RepCarbajal
81,0.2852813930758417,WA,Rick Larsen,D,@RepRickLarsen
82,0.28600806283571123,TX,Eddie Johnson,D,
83,0.28750547777173224,DE,Lisa Blunt Rochester,D,
84,0.28800065010770537,CA,John Garamendi,D,@RepGaramendi
85,0.2888855975644069,CA,Anna Eshoo,D,@RepAnnaEshoo
86,0.29413975693817296,NY,Eliot Engel,D,@RepEliotEngel
87,0.29599090642697795,NV,Dina Titus,D,@dinatitus
88,0.29603665063774826,CA,Linda Sánchez,D,@RepLindaSanchez
89,0.2970534903176509,NJ,Albio Sires,D,@RepSires
90,0.2996653001683001,NY,Grace Meng,D,@RepGraceMeng
91,0.2999094606058901,IL,Bobby Rush,D,@RepBobbyRush
92,0.3023630445625525,CA,Norma Torres,D,@NormaJTorres
93,0.30300238629874504,MD,John Sarbanes,D,@RepSarbanes
94,0.3035932944030849,KY,John Yarmuth,D,@RepJohnYarmuth
95,0.3040682703008544,VT,Peter Welch,D,@PeterWelch
96,0.3041763026592921,CA,Susan Davis,D,@RepSusanDavis
97,0.3045629731609468,NY,Nita Lowey,D,@NitaLowey
98,0.30577285344132416,NY,Sean Maloney,D,
99,0.3058809926193211,NV,Ruben Kihuen,D,
100,0.3059227736175281,MI,Daniel Kildee,D,
101,0.3061939759356458,CA,Adam Schiff,D,@RepAdamSchiff
102,0.30790288240299923,NY,Joe Crowley,D,@JoeCrowleyNY
103,0.3080666544917332,FL,Val Demings,D,@RepValDemings
104,0.30933855007644606,MA,William Keating,D,
105,0.31013340742097434,MS,Bennie Thompson,D,@BennieGThompson
106,0.31320058521270155,CA,Doris Matsui,D,@DorisMatsui
107,0.3132683688312817,CO,Diana DeGette,D,@RepDianaDeGette
108,0.3140279805966698,LA,Cedric Richmond,D,@RepRichmond
109,0.3148873595752876,VI,Stacey Plaskett,D,@StaceyPlaskett
